tweet,sarcasm,irony,satire,understatement,overstatement,rhetorical_question,sarcastic,rephrase
Not telling anyone how I voted in case it doesn't come true #EUref,1,0,0,0,0,0,1,I voted leave/remain in the EU Referendum
just wondering how to get my diss down by 1500 words .. such fun,1,0,0,0,0,0,1,getting my diss down by 1500 words is not fun.
It’s been a blissful 2.5 hours of sleep tonight,1,0,0,0,0,0,1,I only got 2.5 hours of sleep last night and it wasn’t enough
Falling asleep at your laptop is always fun,1,0,0,0,0,0,1,I hate falling asleep at my laptop 
Trying to know all this history tonight is gonna kill me,1,0,0,0,0,0,1,trying to know all this history is going to be be a challenge
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,1,0,0,0,0,0,1,Can’t believe Jonny is making me use headphones to watch something so he can play fifa 
Nice to be compared to a brick wall 😂,1,0,0,0,0,0,1,"""Not happy i have been compared to a brick wall""."
@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.,1,0,0,0,0,0,1,Repulsing people would certainly draw attention.
if 2020 was a nose it’d be mine 🐦,1,0,0,0,0,0,1,My nose is awful
Would anyone like to give me some money? #FinDom,1,0,0,0,0,0,1,"I just watched a documentary about finical domination and would be interested in getting into this line of work, if anyone is interested please let me know - if being genuine. Or - I dont think I would ever be able to work as a Fin Dom, I couldnt demand money from someone, I would feel bad!"
Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,1,0,0,0,0,0,1,I am officially a national trust member
Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.,1,0,0,0,0,0,1,"Vaccinated this morning. The vaccine did not contain a Microsoft chip, nor did it make me more autistic than I already am."
ITS COMING HOOOOOME,1,0,0,0,0,0,1,It’s coming Rome
i wish i could tap in to the government bank account🙄🙄🙄,1,0,0,0,0,0,1,I wish I were as rich as politicians are
90% of adulthood is just refilling your Brita pitcher.,0,1,0,0,1,0,1,I have to refill my Brita pitcher too often.
"I suppose though, we did sign one for the future so, you know, not all gloom and doom...we might be good in 6 years time.",1,0,0,1,0,0,1,I wish we could have signed a player for the first team. 
Where is the Chancellor? Please check the back of your sofas.,1,0,0,0,0,0,1,(!) I wonder where the Chancellor is after such an important decision?
"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",1,0,0,0,0,0,1,"As someone who is aspec in multiple ways, I enjoy having all parts of my identity being recognised. "
going to be running on three hours of sleep at work tonight! so excited!!!,1,0,0,0,0,0,1,i’m not ready to go to work after only getting three hours of sleep last night.
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",1,0,0,0,0,1,1,I don’t think he drank 11 beers every hour
i’m now reading 4 books at once what could go wrong 🧡,1,0,0,0,0,0,1,"""i'm reading 4 books at once, let's see if i can actually finish them all"""
"@ZionWarrior6 I think lunch was ready at the care home, then it was time for nap and then Countdown.",1,0,0,0,0,0,1,He's too old?
@Schlippertysch1 @anon_opin Very good. Just need to work on your spelling now 👍,1,0,0,0,0,0,1,Excuse me but I think that you have made a spelling error on your last comment there.
"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets",0,1,0,0,0,0,1,"The first half of 2020 is now over, it's been awful so far hasn't it."
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",0,1,0,0,0,1,1,"I don’t appreciate being banned for using the word embarrasing, when others can be racist/homophobic and it’s okay "
"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff",0,1,0,0,0,0,1,I hate working outside in the heat. 
@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,1,0,0,0,0,0,1,I would actually answer the question - 'Who would you want to spend a bank holiday with?' with an answer that I meant. I would be worried that people would mock me if I was honest though - I don't care when the tweet is clearly a joke.
"So, very delayed flight from Bristol to Edinburgh @easyJet, trademark vagueness from staff, with a chronic lack of empathy to boot (despite me travelling with three young children)... now, time to feed our family with £3 vouchers (at airport prices!) #bollocks",1,0,0,0,0,0,1,To buy an airport meal with a £3 voucher is impossible.
we need to normalise having absolutely fried bleach damaged hair. people should talk about this,1,0,0,0,0,0,1,"I am self conscious of my fried, bleach-damaged hair. "
"Wizkid is the king, ok lol",1,0,0,0,0,0,1,Wizkid is not the king lol
"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis 🧠 https://t.co/lShlgWYGOX",0,1,0,0,0,0,1,Wood burning stoves are definitely not an environmental issue that needs to be immediately addressed 
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",0,1,0,1,0,0,1,It was a really good choice! You should all go watch it 
Social Care for the young is basically a bath board and bed rest and your done.,1,0,0,0,0,0,1,Social care for the young is non existent.
@PONOS_EN Very nice. We're now briefly up to date. Hopefully doesn't take you so long to do the English release of the new pixie after we get 9.10.,1,0,0,0,0,0,1,I am disappointed that it took so long to get to this point where we are up to date.
JUSTICE HAS BEEN DONE.,1,0,0,0,0,0,1,Justice will never be done
What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,0,1,0,0,0,0,1,this was a boring race.
help! i'm being haunted by dead people! (my dissertations),0,1,0,0,0,0,1,I hate my dissertation
my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.,1,0,0,0,0,0,1,Very jealous of my neighbors sitting in their hot tub today whilst I am on back to back zoom meetings.
I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,1,0,0,0,0,0,1,"I've been doing physics for 40 minutes, i cant take a break or I'm never going to get it all done at this rate"
Billy Gunn sorta relevant for the first time in years...,1,0,0,1,0,0,1,Billy Gunn is actually in the spotlight now. 
wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,1,0,0,0,0,0,1,I could have said that I was too dumb for conceptual physics. 
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",1,0,0,0,0,0,1,I'm so sad that 1989 (Taylor's version) won't be released this summer.
"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u",1,0,0,0,0,0,1,I’m recovering from a hangover 
considering crowd surfing the next time the hallways are too packed,0,1,0,0,0,0,1,"The hallways are very crowded lately. I would prefer to take another form of transportation that is more efficient than walking, but none such option exists."
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,0,1,0,0,0,1,1,I can not avoid miss gatherings as I work in a school.
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,0,1,0,0,0,0,1,"This match isn't too interesting, we are using the time to talk about electrics instead!"
What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,0,1,0,0,0,0,1,Literally the worst possible time to have my AC go out. 
@WalesOnline Riveting news.,1,0,0,0,0,0,1,What a boring tweet.
"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it...
Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much",1,0,0,0,0,0,1,Everyone needs gas-x after having beans. 
okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,0,1,0,1,0,0,1,The say so song was good after the first 5 listens but after that it got annoying
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",1,0,0,0,0,0,1,No.
Tinnitus is my favourite thing ever I love it. So loud so atmospheric https://t.co/mNJw5GvPzy,1,0,0,0,0,0,1,My tinnitus is so annoying
thanks @SovietWomble for ratting my location out on stream and then embarrassing me 😂 it made my day though https://t.co/3b7Cjql2GO,1,0,0,0,0,0,1,It wasn't very nice to rat out my location
love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,1,0,0,0,0,0,1,"I hate that in order to get time off of work, I have to do something drastic like getting surgery"
i love ingesting poison and then wondering why my tummy is rumbling the next morning,1,0,0,0,0,0,1,Every time I drink I wake up with an upset stomach
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1,0,1,0,0,0,1,I would say what I said above: Beautician and the Beast isn't Timothy Dalton's best film. 
"@FeeyaCruz Ahahahaha the Feeya I know and love, miss u 😢",1,0,0,0,0,0,1,"‘Oh Feeya, you haven’t changed’’ "
absolutely love waking up to the fire alarm at 7 am 😍,0,1,0,0,0,0,1,I hate waking up to the fire alarm at 7 am.
fully vaxxed feeling very girlboss,1,0,0,0,0,0,1,fully vaxxed not feeling very girlboss
I feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what I mean,1,0,0,0,0,0,1,I would say that “It’s a little gross seeing a baby cough openly in public when adults are not supposed to do the same in this pandemic”
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",1,0,0,0,0,0,1,She just wants you to use her make-up and skincare.
The typhoon flew over me today absolutely fuming they forgot to bomb me,1,0,0,0,0,0,1,the typhoon flew over me today and i didnt get bombed 
love getting assignments at 6:25pm on a Friday!!,1,0,0,0,0,0,1,Please do not give me an assignment right before I clock out because now I have to work overtime
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,0,1,0,0,0,0,1,An uninteresting conversation regarding the importance of an Orlando Magic Summer League title. 
@rits_meg @freedomsenpai hot loli,1,0,0,0,0,0,1," great art, involve rinako-chan"
Between Mikey cooking and Didi cooking for me I relaxing 😎  cooking?? I don’t know her,1,0,0,0,0,1,1,I appreciate that my sister and brother cook for me
Ah gotta love that Friday morning burnt out feeling 🌄,0,1,0,0,0,0,1,I hate feeling burnt out from work and the never-ending pandemic.
@PFTompkins Her family should definitely not seek mental health guidance.  😬,1,0,0,0,0,0,1,They should seek guidance.
"How I flirt with boys 

Boy: “Hey I saw you from across the room and had to come over”

Me: “Wow you’re super observant. Do you have 20/20 vision?”",1,0,0,0,0,1,1,I could have said thanks for coming over 
Been trying to get my boyfriends attention. Let’s see how long it takes for him to see this tweet tho.,1,0,0,0,0,0,1,Sitting next to my boyfriend but he'll notice me on twitter first.
My work email isn’t working so I can just log off for the day right? 🙄,0,1,0,0,0,0,1,I wish I would log off for the day because my email isn't working.
watching olympic womens beach volleyball for the plot,1,0,0,0,0,0,1,I watch women's beach volleyball for the hot women.
there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. 😑,0,1,0,0,0,0,1,"""The worst way to wake up is...."""
"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes 🤗",1,0,0,0,0,0,1,I left my Airpods out by the fire and now my ears are warm.
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,1,0,0,0,0,0,1,Why is the ref helping the other team?
Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,1,0,0,0,0,0,1,by simply stating the foolishness of voting in favour of brexit 
"Lucky for 2nd placed Brentford that there's no stand out team like Leeds this year, or they might have no chance of winning the league. #ncfc",1,0,0,1,0,0,1,Norwich are the standout team this year and therefore Brentford have no chance of winning the league
how do I get my boyfriend in a maid costume?,1,0,0,0,0,1,1,My boyfriend could look okay in a maid costume.
@DonaldJTrumpJr If only he had a press Corp in the house...oh wait! Shut up Jr! Time to get fitted for those lovely orange jumpsuits! If you can't be orange anymore at least you can wear it!!!,1,0,0,0,0,0,1,I would point out that how can a President be censored if he has his own press Corp right there in the White House
Wtf is a Justin Herbert,1,0,0,0,0,1,1,"""I don't know who Justin Herbert is"""
"""He's not welcome in a tolerant place like London"" @emmadentcoad  on the Presidential visit on @BBCRadio4 The irony in that comment... #r4bh",1,0,0,0,0,0,1,Donald Trump is not welcome in a place like London.
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1,0,0,0,0,0,1,It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow 
thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1,0,0,0,0,0,1,"College advisors are not nearly as helpful as they should be, in fact they are often the opposite."
2 busy working 2 care,1,0,0,0,0,0,1,i don’t care because i’m at work
Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z,1,0,0,0,0,0,1,"Although the uni has now closed the campus, I was able to get a lot of work done having to go in"
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,0,1,0,0,0,0,1,'Focus on fixing Earth before you start experimenting with Mars'
I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️,1,0,0,0,0,0,1,I wish there was a way to have a perfect life. 
The control button just fell off my laptop. How symbolic for my life.,1,0,0,0,0,0,1,My control key fell off my laptop and I cannot control my life
"make it illegal to say/write ""Dems in disarray"" on account of it being stupid as fuck",1,0,0,0,0,0,1,"Don't say ""dems in disarray,"" because they aren't."
a level tudor history can do one,0,1,0,0,0,0,1,I want my a-level history course to be finished
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,1,0,0,0,0,0,1,"Although I do not want to live to be 110 years old, I love reading about people's hyper-specific secrets to longevity that other people will inevitably follow"
ugh I have to send an email??? how about I just quit!!!!!,1,0,0,0,0,0,1,I would rather quit my job than do any of the work I am explicitly paid to do. 
"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",1,0,0,0,0,0,1,After three days of incompetence from Air France my luggage has finally arrived. No thanks to Air France.
went to check out the bios of the (exclusively) hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic 🙃🙃🙃,1,0,0,0,0,0,1,It's really frustrating that all these people traveled internationally
So in other news I just held the door open for Bam Adebayo &amp; then I fell down the stairs &amp; I think I broke my finger.. ya I'm THAT smooth,1,0,0,0,0,0,1,I just fell down the stairs after holding the door open for Bam Adebayo. I really embarrassed myself.
I can't believe today is the last day we can be gay.,1,0,0,0,0,0,1,Today is the last day of pride month.
did you actually fly on a plane if you didn’t post a picture of the view from your window?,1,0,0,0,0,1,1,You don’t need to post a picture from airplane window every time you fly since all pictures from the window are practically the same. 
"Seeing as Kanye West has a range of clothing with Gap, how about me and you do a collab @FandFclothing",1,0,0,0,0,0,1,I think Kanye West and Gap is a terrible collab.
i love jumping on zoom meetings where everyone is talking about their kids &amp; i'm stuffing my face with taco bell,1,0,0,0,0,0,1,I'm sick of listening to my coworkers talk about their kids & want to eat my lunch in peace!
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),1,0,0,0,0,0,1,I don’t like people who talk bad about me
@igreen95 thx for the play by play,1,0,0,0,0,0,1,"""Sounds interesting!"""
who thinks me and sam should start a band called 'teeth at midnight' 🦷🌙,1,0,0,0,0,0,1,In an alternate universe me and sam would have been in a band called teeth at midnight
omg there’s a sheet of ice in front of my school. should I slip and fall?,0,1,0,0,0,1,1,"I am in need of money. Therefore, I should sue my college if I fall because they are responsible for not clearing the ice on the ground."
I wish that grilled cheese helped you get that summer bod,0,1,0,0,0,0,1,Grilled cheese doesn't give you a summer bod
I called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance” !!! The more you know guys!,1,0,0,0,0,0,1,"Instead of saying ""the more you know guys!"" I would just say ""that is not true"""
@andy_mansell72 @VicOtley @garry_whu @NiaAnts @davidschneider Finally someone is speaking up for the billionaires.,1,0,0,0,0,0,1,Billionaires do not need anyone to speak up on their behalf.
"@mjborshell @garygilligan Hasn't he opened a few new hospitals? Oh sorry, maybe it was a new first aid box.",1,0,0,0,0,0,1,Javid hasn't actually opened any new hospitals - he's just announcing that he has when actually he's opening a new facility within an existing hospital
yeah your girl is fine but does she pass out while giving blood,1,0,0,0,0,1,1,Passing out while giving blood is not attractive
"I recovered a repressed memory today of working at @kumandgo in high school 13 years ago &amp; having to answer the phone as “we go all out at Kum &amp; Go, this is Shelby. How can I help you?” And the prank calls that led to. Pretty sure K&amp;G owe me therapy.",1,0,0,0,0,0,1,I don't think K&G owes me therapy.
Accidentally made a friend in ASL today. I hate when that happens.,1,0,0,0,0,0,1,"I would say ""Made a friend in ASL today. I love when that happens."""
"@BoardroomBoy Few links for you. To summarise, wearing face masks seems to be more effective than not. Who'da thunk...",1,0,0,0,0,1,1,"I would omit the ""who'da thunk"" part."
Kind of rude of my stomach to still make whale noises after I’ve given it a whole protein bar,1,0,0,0,0,0,1,I wish that my stomach could stop making whale noises after feeding it a protein bar
Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America,1,0,0,0,0,0,1,I don’t like my country being the “fat” country.
Overthinking everything in life really takes a toll on you,0,1,0,0,0,0,1,"There is a contrast between the word ""overthinking"" and how everything in life really does not take a toll on you.
"
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1,0,0,0,0,0,1,Pitching two games back to back is exhausting.
I’ve seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently. If only there was a website you could use to find out if an AirBnB was available 🤔,1,0,0,0,0,0,1,There is a website you could use to check if the airbnb is available 
@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.),1,0,0,0,0,0,1,Ratings should not matter.
dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1,0,0,0,0,1,1,dont you hate it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too
@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1,0,0,0,0,0,1,The customer service worker sprayed customers with water like one does to train pets.
Taxes  are just the best and I cannot wait to pay more 😇🥰🥺,0,1,1,0,0,0,1,I dislike paying taxes.
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪",0,1,0,0,0,0,1,Annoying that we have to use another streaming service to watch some TV
alright I’m ready for some march madness🏀🔥,0,1,0,0,0,0,1,"I was ready for some march madness, then COVID happened"
I still can’t believe England won the World Cup,1,0,0,0,0,0,1,I still can’t get over the fact England did not win the World Cup 
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1,0,0,0,0,1,1,"My date got cancelled, and I got ready for nothing."
wouldn’t it be cool if i could spontaneously combust,1,0,0,0,0,1,1,I'm frustrated and I don't want to deal with things right now.
Efy is great,0,1,0,0,0,0,1,"EFY is a time for white, religious kids to make weird friends and mess around while not doing anything productive."
@sonofsama1 @Santandave1 you’re trash,1,0,0,0,0,0,1,You’re terrible
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,0,1,0,0,0,0,1,Cold queso is gross and warm queso is so much better.
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,1,0,0,0,0,0,1,"""It's literally their job to have a lot of knowledge on a wide array of subjects"""
It’s really very selfish of Silverstone to be saying the 2022 Grand Prix is 1/7-3/7 cause my holiday year starts on 1/7 and I would have to use a day of this years holiday allowance to go. I should have been consulted really 😵‍💫😵‍💫😵‍💫,1,0,0,0,0,0,1,It’s  really annoying I have to use one day of my holiday allowance this year to attend the Grand Prix. 
"""are you experiencing suicidal or homicidal ideation?""
""only while trying to talk to a human when I call @Walgreens pharmacy""",0,1,0,0,0,0,1,I hate the Walgreens robot
Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,0,1,0,0,0,0,1,"Fed up of seeing forced romance, don't be told when to do something nice for a person you love."
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",1,0,0,0,0,0,1,I will not answer you if you message me about fit teas or wraps. I’m leaving you on read. I’m not sorry about it. 
wow i love only ever buying gray and striped shirts,1,0,0,0,0,0,1,I wish I didn't just buy gray and striped shirts.
no more instagram. we must all return to scrapbooks.,0,1,0,0,0,0,1,I would rather make a scrapbook than use instagram.
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",0,1,0,0,0,0,1,"Twitter has reset the ""topics you might be interested in"". It's awful - all the topics I've clicked ""ignore"" on are coming back to the ""topics..."" section when I scroll any profile or TL, and it's so become a very frustrating experience."
Thank god I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,1,0,0,0,0,0,1,"The tweet could be, ""oh my goodness I just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face"" to make it not sarcastic. "
"I hurt my foot like 3 days ago,  I have no idea how, but it hurts to put pressure on it. Love that for me",1,0,0,0,0,0,1,"I really do not love hurting my foot, it's really painful! "
"me: trying to sleep slightly earlier than usual bc I feel like shit 
my friend, texting the group chat 13 separate times at nearly 4am: hello I don’t think so! how abt I tell u abt how bad things are going instead :)",1,0,0,0,0,0,1,"I might say “I am so annoyed that my roommate won’t stop venting to me when I’m trying to sleep, I already don’t feel good and was trying to sleep Early for Self Care and having them bombard me with their problems at 4am is really putting a damper on things”"
Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️,1,0,0,0,0,0,1,@ my apartment complex: please pick a time later in the day to mow the lawn. 8 am = cranky residents.
"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday.",0,1,0,0,0,0,1,"""I can't stand when the kittens have so much energy at the crack of dawn that I get woken up by a loud, noisy mess they've made"""
"Sometimes I feel like all this effort is just like sticking diamond encrusted alloys on a knackered Corsa. I mean, shit is what it is at the end of the day.",1,0,0,0,0,0,1,Therapy can only do so much. 
a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more.,1,0,0,0,0,0,1,"Tom Ford, as a movie director, makes me feel big feelings and that's impressive to me."
"Hey Siri, how do I stop simping?",1,0,0,0,0,1,1,I don't like that I put too much effort into someone who may not like me back.
we love mixed signals🙄,1,0,0,0,0,0,1,I hate mixed signals. 
